coh,id,adm.NAM,adm.IBS,adm.YRI,p1,p2,sex,rfm.NAM,rfm.IBS,rfm.YRI,P1.anc.NAM,P1.anc.IBS,P1.anc.YRI,P2.anc.NAM,P2.anc.IBS,P2.anc.YRI.2,P1.anc.NonYRI.2way,P1.anc.YRI.2way,P2.anc.NonYRI.2way,P2.anc.YRI.2way,adm.NonYRI,P1.sex,P1.adm.NAM,P1.adm.IBS,P1.adm.YRI,P1.adm.NonYRI,P1.rfm.NAM,P1.rfm.IBS,P1.rfm.YRI,P2.sex,P2.adm.NAM,P2.adm.IBS,P2.adm.YRI,P2.adm.NonYRI,P2.rfm.NAM,P2.rfm.IBS,P2.rfm.YRI,P1.anc.NonYRI.2way.rand,P2.anc.NonYRI.2way.rand,P1.anc.YRI.2way.rand,P2.anc.YRI.2way.rand
ACB,HG01881,0.021796,0.220233,0.757971,HG01879,HG01880,2,0.0107102070169694,0.294222019677505,0.695067773305526,0.008,0.325,0.667,0.013,0.178,0.809,0.185,0.815,0.411,0.588,0.242029,1,1e-05,0.152357,0.847633,0.152367,0.00154482014991217,0.161469455769181,0.836985724080907,2,0.065706,0.312022,0.622272,0.377728,0.0216800283459724,0.425069854307091,0.553250117346936,0.411,0.185,0.588,0.815
ACB,HG01884,1e-05,0.059809,0.940181,HG01885,HG01956,2,0.00252732674358951,0.0842594740387062,0.913213199217704,0,0.086,0.914,0.002,0.114,0.884,0.044,0.956,0.152,0.848,0.059819,1,1e-05,0.047068,0.952922,0.047078,0.00127034998366091,0.0625437762270996,0.93618587378924,2,1e-05,0.070144,0.929846,0.070154,0.00229400923025039,0.08043502594284,0.91727096482691,0.044,0.152,0.956,0.848
ACB,HG01887,1e-05,0.088252,0.911738,HG02014,HG01886,1,0.000550586552544276,0.110198853227454,0.889250560220001,0,0.16,0.84,0,0.063,0.937,0.062,0.938,0.167,0.833,0.088262,1,1e-05,0.119536,0.880454,0.119546,0.000508597260986341,0.134716829105127,0.864774573633887,2,1e-05,0.109114,0.890876,0.109124,0.000693558128648431,0.119050584622223,0.880255857249128,0.167,0.062,0.833,0.938
ACB,HG01888,1e-05,0.077066,0.922924,HG01882,HG01883,1,0.00341716047654727,0.0963457755778594,0.900237063945593,0.001,0.111,0.889,0.003,0.064,0.932,0.072,0.928,0.127,0.873,0.077076,1,1e-05,0.020652,0.979338,0.020662,0.00163178268486193,0.0391981582306631,0.959170059084475,2,1e-05,0.127699,0.872291,0.127709,0.00300835070891767,0.137134079124082,0.859857570167,0.127,0.072,0.928,0.873
ACB,HG01891,1e-05,0.062341,0.937649,HG01890,HG01889,2,0.00345431310669145,0.0799576719730353,0.916588014920273,0,0.134,0.865,0.002,0.025,0.973,0.096,0.904,0.062,0.938,0.062351,1,1e-05,0.119534,0.880456,0.119544,0.003663695456424,0.132649193109448,0.863687111434128,2,1e-05,0.013127,0.986863,0.013137,0.000533230750849805,0.0323526793661654,0.967114089882985,0.096,0.062,0.904,0.938
ACB,HG01895,1e-05,0.070445,0.929545,HG01912,HG01894,1,0.000348317945407792,0.0906888668714712,0.908962815183121,0,0.077,0.922,0.001,0.118,0.882,0.059,0.941,0.164,0.836,0.070455,1,1e-05,0.086871,0.913119,0.086881,0.000734341414498878,0.106320508870027,0.892945149715475,2,1e-05,0.070974,0.929016,0.070984,0.000803154409090007,0.0794960256267928,0.919700819964117,0.164,0.059,0.836,0.941
ACB,HG01897,1e-05,1e-05,0.99998,HG02013,HG01896,1,0.00118352006483692,0.0472000691147541,0.951616410820409,0.002,0.076,0.923,0.001,0.018,0.981,0.032,0.968,0.075,0.925,2e-05,1,1e-05,0.004366,0.995624,0.004376,0.00061580484909009,0.0329292278839377,0.966454967266972,2,1e-05,1e-05,0.99998,2e-05,0.00236095758871076,0.0316272826868393,0.96601175972445,0.075,0.032,0.925,0.968
ACB,HG01916,1e-05,0.087576,0.912414,HG01914,HG01915,2,0.00169828370865914,0.107642366600919,0.890659349690422,0,0.069,0.931,0.004,0.156,0.84,0.058,0.942,0.18,0.82,0.087586,1,1e-05,0.144619,0.855371,0.144629,0.00493143423746895,0.156890652438343,0.838177913324188,2,1e-05,0.068161,0.931829,0.068171,0.00238931572262197,0.078619587190587,0.918991097086791,0.18,0.058,0.942,0.82
ACB,HG01959,1e-05,0.127504,0.872486,HG01986,HG01958,2,0.00369156388971509,0.143031246774447,0.853277189335838,0.001,0.097,0.903,0.005,0.179,0.816,0.187,0.813,0.095,0.905,0.127514,1,1e-05,0.119338,0.880652,0.119348,0.00236839370419778,0.136890909033636,0.860740697262167,2,1e-05,0.128831,0.871159,0.128841,0.00588003257886551,0.141330421998411,0.852789545422723,0.187,0.095,0.905,0.813
ACB,HG01960,1e-05,0.282852,0.717138,HG01988,HG01989,2,0.00284284382586875,0.29879571185825,0.698361444315882,0,0.324,0.676,0.001,0.244,0.755,0.062,0.938,0.497,0.503,0.282862,1,1e-05,0.439707,0.560283,0.439717,0.00543607900388273,0.454530203917547,0.54003371707857,2,1e-05,0.147534,0.852456,0.147544,0.000435244700704828,0.159087681720922,0.840477073578373,0.062,0.497,0.503,0.938
ACB,HG01987,1e-05,0.068483,0.931507,HG01990,HG02012,1,0.00284082129644462,0.0908186216930706,0.906340557010485,0,0.06,0.94,0.004,0.125,0.87,0.052,0.948,0.132,0.868,0.068493,1,1e-05,0.060111,0.939879,0.060121,0.00297841150597416,0.0703105209824608,0.926711067511565,2,1e-05,0.068804,0.931186,0.068814,0.000535237971566798,0.0949201789270867,0.904544583101346,0.132,0.052,0.948,0.868
