Population,Type,Individual,Cluster,Ancestry
YRI,Reference,1,K1,1.8e-05
YRI,Reference,1,K2,1e-05
YRI,Reference,1,K3,0.999972
YRI,Reference,2,K1,1.8e-05
YRI,Reference,2,K2,1e-05
YRI,Reference,2,K3,0.999972
YRI,Reference,3,K1,1.6e-05
YRI,Reference,3,K2,1e-05
YRI,Reference,3,K3,0.999974
YRI,Reference,4,K1,1.6e-05
YRI,Reference,4,K2,1e-05
YRI,Reference,4,K3,0.999974
YRI,Reference,5,K1,1.6e-05
YRI,Reference,5,K2,1e-05
YRI,Reference,5,K3,0.999974
YRI,Reference,6,K1,1.6e-05
YRI,Reference,6,K2,1e-05
YRI,Reference,6,K3,0.999974
YRI,Reference,7,K1,1.4e-05
YRI,Reference,7,K2,1e-05
YRI,Reference,7,K3,0.999976
YRI,Reference,8,K1,1.4e-05
YRI,Reference,8,K2,1e-05
YRI,Reference,8,K3,0.999976
YRI,Reference,9,K1,1.3e-05
YRI,Reference,9,K2,1e-05
YRI,Reference,9,K3,0.999977
YRI,Reference,10,K1,1.3e-05
YRI,Reference,10,K2,1e-05
YRI,Reference,10,K3,0.999977
YRI,Reference,11,K1,1.2e-05
YRI,Reference,11,K2,1e-05
YRI,Reference,11,K3,0.999978
YRI,Reference,12,K1,1.2e-05
YRI,Reference,12,K2,1e-05
YRI,Reference,12,K3,0.999978
YRI,Reference,13,K1,1.2e-05
YRI,Reference,13,K2,1e-05
YRI,Reference,13,K3,0.999978
YRI,Reference,14,K1,1.2e-05
YRI,Reference,14,K2,1e-05
YRI,Reference,14,K3,0.999978
YRI,Reference,15,K1,1.1e-05
YRI,Reference,15,K2,1e-05
YRI,Reference,15,K3,0.999979
YRI,Reference,16,K1,1e-05
YRI,Reference,16,K2,1e-05
YRI,Reference,16,K3,0.99998
YRI,Reference,17,K1,1e-05
YRI,Reference,17,K2,1e-05
YRI,Reference,17,K3,0.99998
YRI,Reference,18,K1,1e-05
YRI,Reference,18,K2,1e-05
YRI,Reference,18,K3,0.99998
YRI,Reference,19,K1,1e-05
YRI,Reference,19,K2,1e-05
YRI,Reference,19,K3,0.99998
YRI,Reference,20,K1,1e-05
YRI,Reference,20,K2,1e-05
YRI,Reference,20,K3,0.99998
