Population,name_of_P1,name_of_P2,R,CIL,CIU,N,R_type
ACB,P1.anc.YRI,P2.anc.YRI,0.341281017956739,-0.0998072621947545,0.670264965350124,20,corsym
ACB,P1.anc.IBS,P2.anc.IBS,0.326146974835102,-0.116638580772148,0.660777728659095,20,corsym
ACB,P1.anc.NAM,P2.anc.NAM,0.446350762527233,0.0244465611636437,0.733294081472988,20,corsym
ACB,P1.anc.YRI.2way,P2.anc.YRI.2way,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.adm.YRI,P2.adm.YRI,0.230652078250789,-0.217284517107233,0.598341920338989,20,corsym
ACB,P1.adm.IBS,P2.adm.IBS,0.240203835938014,-0.207628716988078,0.604794649196481,20,corsym
ACB,P1.adm.NAM,P2.adm.NAM,-0.0163368245943869,-0.439830514730852,0.413100613903114,20,corsym
ACB,P1.anc.YRI,P2.anc.YRI,0.325235284905015,-0.137003503542476,0.671160398857494,20,pearson
ACB,P1.anc.IBS,P2.anc.IBS,0.30763400655032,-0.156143249636874,0.660269384944238,20,pearson
ACB,P1.anc.NAM,P2.anc.NAM,0.783752760655805,0.522421959033107,0.91049084093533,20,pearson
ACB,P1.anc.YRI.2way,P2.anc.YRI.2way,-0.020008215143454,-0.458469683330039,0.426286933262063,20,pearson
ACB,P1.adm.YRI,P2.adm.YRI,0.215361837408393,-0.251088171990601,0.60064034052868,20,pearson
ACB,P1.adm.IBS,P2.adm.IBS,0.228072610320629,-0.238521389031556,0.609117109230998,20,pearson
ACB,P1.adm.NAM,P2.adm.NAM,NA,NA,NA,20,pearson
ACB,P1.anc.YRI.2way.rand.1,P2.anc.YRI.2way.rand.1,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.1,P2.anc.YRI.2way.rand.1,-0.220821880465768,-0.604292266954739,0.245709177770112,20,pearson
ACB,P1.anc.YRI.2way.rand.2,P2.anc.YRI.2way.rand.2,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.2,P2.anc.YRI.2way.rand.2,-0.195232500324207,-0.587036586097144,0.270672916534746,20,pearson
ACB,P1.anc.YRI.2way.rand.3,P2.anc.YRI.2way.rand.3,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.3,P2.anc.YRI.2way.rand.3,-0.262925940285635,-0.631922426334426,0.203242099292005,20,pearson
ACB,P1.anc.YRI.2way.rand.4,P2.anc.YRI.2way.rand.4,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.4,P2.anc.YRI.2way.rand.4,-0.224580777028265,-0.606797059456311,0.241989304138591,20,pearson
ACB,P1.anc.YRI.2way.rand.5,P2.anc.YRI.2way.rand.5,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.5,P2.anc.YRI.2way.rand.5,-0.172958885230045,-0.571721317671638,0.291903584633934,20,pearson
ACB,P1.anc.YRI.2way.rand.6,P2.anc.YRI.2way.rand.6,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.6,P2.anc.YRI.2way.rand.6,-0.258672103892899,-0.629172863976825,0.207613765447073,20,pearson
ACB,P1.anc.YRI.2way.rand.7,P2.anc.YRI.2way.rand.7,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.7,P2.anc.YRI.2way.rand.7,-0.191398431424377,-0.584420124364693,0.274360037833588,20,pearson
ACB,P1.anc.YRI.2way.rand.8,P2.anc.YRI.2way.rand.8,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.8,P2.anc.YRI.2way.rand.8,-0.28412343907488,-0.645486823115636,0.181176797172323,20,pearson
ACB,P1.anc.YRI.2way.rand.9,P2.anc.YRI.2way.rand.9,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.9,P2.anc.YRI.2way.rand.9,-0.189290280199504,-0.582977980141724,0.276381571947394,20,pearson
ACB,P1.anc.YRI.2way.rand.10,P2.anc.YRI.2way.rand.10,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.10,P2.anc.YRI.2way.rand.10,-0.205346200756927,-0.593899370090192,0.260880810573795,20,pearson
ACB,P1.anc.YRI.2way.rand.11,P2.anc.YRI.2way.rand.11,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.11,P2.anc.YRI.2way.rand.11,-0.213820002397218,-0.599606171682952,0.252601921729242,20,pearson
ACB,P1.anc.YRI.2way.rand.12,P2.anc.YRI.2way.rand.12,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.12,P2.anc.YRI.2way.rand.12,-0.278260500895747,-0.641757764039768,0.187326987383158,20,pearson
ACB,P1.anc.YRI.2way.rand.13,P2.anc.YRI.2way.rand.13,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.13,P2.anc.YRI.2way.rand.13,-0.220794457232742,-0.604273965212689,0.245736265914008,20,pearson
ACB,P1.anc.YRI.2way.rand.14,P2.anc.YRI.2way.rand.14,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.14,P2.anc.YRI.2way.rand.14,-0.114731343074459,-0.530326896419123,0.345321772033893,20,pearson
ACB,P1.anc.YRI.2way.rand.15,P2.anc.YRI.2way.rand.15,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.15,P2.anc.YRI.2way.rand.15,-0.103918616986745,-0.522415521807774,0.35492374071661,20,pearson
ACB,P1.anc.YRI.2way.rand.16,P2.anc.YRI.2way.rand.16,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
