Population,name_of_P1,name_of_P2,R,CIL,CIU,N,R_type
ACB,P1.anc.YRI,P2.anc.YRI,0.234272837319449,-0.213634607061125,0.600793564908203,20,corsym
ACB,P1.anc.IBS,P2.anc.IBS,0.218590433532138,-0.229353571671452,0.590124911923738,20,corsym
ACB,P1.anc.NAM,P2.anc.NAM,-0.0520235818992989,-0.468192567955342,0.38303509201887,20,corsym
ACB,P1.anc.YRI.2way,P2.anc.YRI.2way,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.adm.YRI,P2.adm.YRI,0.230652078250789,-0.217284517107233,0.598341920338989,20,corsym
ACB,P1.adm.IBS,P2.adm.IBS,0.240203835938014,-0.207628716988078,0.604794649196481,20,corsym
ACB,P1.adm.NAM,P2.adm.NAM,-0.0163368245943869,-0.439830514730852,0.413100613903114,20,corsym
ACB,P1.anc.YRI,P2.anc.YRI,0.545269277628695,0.135425788540737,0.795775107046162,20,pearson
ACB,P1.anc.IBS,P2.anc.IBS,0.518677584216812,0.0988440408645227,0.781763599191113,20,pearson
ACB,P1.anc.NAM,P2.anc.NAM,-0.0888903454925048,-0.511298768648783,0.368110361497996,20,pearson
ACB,P1.anc.YRI.2way,P2.anc.YRI.2way,-0.020008215143454,-0.458469683330039,0.426286933262063,20,pearson
ACB,P1.adm.YRI,P2.adm.YRI,0.215361837408393,-0.251088171990601,0.60064034052868,20,pearson
ACB,P1.adm.IBS,P2.adm.IBS,0.228072610320629,-0.238521389031556,0.609117109230998,20,pearson
ACB,P1.adm.NAM,P2.adm.NAM,NA,NA,NA,20,pearson
ACB,P1.anc.YRI.2way.rand.1,P2.anc.YRI.2way.rand.1,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.1,P2.anc.YRI.2way.rand.1,-0.238618794370182,-0.616084851057398,0.227974696732498,20,pearson
ACB,P1.anc.YRI.2way.rand.2,P2.anc.YRI.2way.rand.2,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.2,P2.anc.YRI.2way.rand.2,-0.22456351521074,-0.606785574130402,0.242006418158247,20,pearson
ACB,P1.anc.YRI.2way.rand.3,P2.anc.YRI.2way.rand.3,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.3,P2.anc.YRI.2way.rand.3,-0.195216324432807,-0.587025564443042,0.270688501222718,20,pearson
ACB,P1.anc.YRI.2way.rand.4,P2.anc.YRI.2way.rand.4,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.4,P2.anc.YRI.2way.rand.4,-0.224558690886446,-0.606782364188615,0.24201120112416,20,pearson
ACB,P1.anc.YRI.2way.rand.5,P2.anc.YRI.2way.rand.5,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.5,P2.anc.YRI.2way.rand.5,-0.217827288943078,-0.602291340325966,0.248662879593587,20,pearson
ACB,P1.anc.YRI.2way.rand.6,P2.anc.YRI.2way.rand.6,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.6,P2.anc.YRI.2way.rand.6,-0.248229975049976,-0.62238381083512,0.218266736428734,20,pearson
ACB,P1.anc.YRI.2way.rand.7,P2.anc.YRI.2way.rand.7,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.7,P2.anc.YRI.2way.rand.7,-0.185413386887066,-0.580319383223735,0.28008845008632,20,pearson
ACB,P1.anc.YRI.2way.rand.8,P2.anc.YRI.2way.rand.8,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.8,P2.anc.YRI.2way.rand.8,-0.193615113108867,-0.585933839031374,0.272229983175405,20,pearson
ACB,P1.anc.YRI.2way.rand.9,P2.anc.YRI.2way.rand.9,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.9,P2.anc.YRI.2way.rand.9,-0.221773269205938,-0.604926955190189,0.244768962861599,20,pearson
ACB,P1.anc.YRI.2way.rand.10,P2.anc.YRI.2way.rand.10,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.10,P2.anc.YRI.2way.rand.10,-0.217127840886931,-0.601823286002639,0.249351529378485,20,pearson
ACB,P1.anc.YRI.2way.rand.11,P2.anc.YRI.2way.rand.11,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.11,P2.anc.YRI.2way.rand.11,-0.213588968190525,-0.599451096959066,0.252828551008545,20,pearson
ACB,P1.anc.YRI.2way.rand.12,P2.anc.YRI.2way.rand.12,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.12,P2.anc.YRI.2way.rand.12,-0.255555357775123,-0.627152382133875,0.210805064937478,20,pearson
ACB,P1.anc.YRI.2way.rand.13,P2.anc.YRI.2way.rand.13,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.13,P2.anc.YRI.2way.rand.13,-0.218242385547205,-0.602568988356185,0.248253968248197,20,pearson
ACB,P1.anc.YRI.2way.rand.14,P2.anc.YRI.2way.rand.14,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.14,P2.anc.YRI.2way.rand.14,-0.199483797781284,-0.589928236442693,0.266568513485749,20,pearson
ACB,P1.anc.YRI.2way.rand.15,P2.anc.YRI.2way.rand.15,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.15,P2.anc.YRI.2way.rand.15,-0.222347609999275,-0.605309872560816,0.244200942519496,20,pearson
ACB,P1.anc.YRI.2way.rand.16,P2.anc.YRI.2way.rand.16,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.16,P2.anc.YRI.2way.rand.16,-0.219604257465665,-0.603479258528214,0.246911220770369,20,pearson
ACB,P1.anc.YRI.2way.rand.17,P2.anc.YRI.2way.rand.17,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.17,P2.anc.YRI.2way.rand.17,-0.221629052345293,-0.604830776870566,0.244911542373537,20,pearson
ACB,P1.anc.YRI.2way.rand.18,P2.anc.YRI.2way.rand.18,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.18,P2.anc.YRI.2way.rand.18,-0.196080916748368,-0.587614462153816,0.269855165943328,20,pearson
ACB,P1.anc.YRI.2way.rand.19,P2.anc.YRI.2way.rand.19,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.19,P2.anc.YRI.2way.rand.19,-0.219167574633106,-0.603187490265964,0.247341966577043,20,pearson
ACB,P1.anc.YRI.2way.rand.20,P2.anc.YRI.2way.rand.20,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.20,P2.anc.YRI.2way.rand.20,-0.221779610688159,-0.604931184072286,0.244762692913469,20,pearson
ACB,P1.anc.YRI.2way.rand.21,P2.anc.YRI.2way.rand.21,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.21,P2.anc.YRI.2way.rand.21,-0.228134323555031,-0.609158054276046,0.238459991314342,20,pearson
ACB,P1.anc.YRI.2way.rand.22,P2.anc.YRI.2way.rand.22,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.22,P2.anc.YRI.2way.rand.22,-0.220816595349981,-0.604288739800865,0.245714398362856,20,pearson
ACB,P1.anc.YRI.2way.rand.23,P2.anc.YRI.2way.rand.23,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.23,P2.anc.YRI.2way.rand.23,-0.266454140499189,-0.634195932358268,0.199602013388313,20,pearson
ACB,P1.anc.YRI.2way.rand.24,P2.anc.YRI.2way.rand.24,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.24,P2.anc.YRI.2way.rand.24,-0.224969112445432,-0.607055400199942,0.241604216954684,20,pearson
ACB,P1.anc.YRI.2way.rand.25,P2.anc.YRI.2way.rand.25,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.25,P2.anc.YRI.2way.rand.25,-0.229164489750206,-0.609841241562816,0.237434540885056,20,pearson
ACB,P1.anc.YRI.2way.rand.26,P2.anc.YRI.2way.rand.26,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.26,P2.anc.YRI.2way.rand.26,-0.197761464307926,-0.588757944053996,0.268233374811451,20,pearson
ACB,P1.anc.YRI.2way.rand.27,P2.anc.YRI.2way.rand.27,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.27,P2.anc.YRI.2way.rand.27,-0.15550969584866,-0.559525985459905,0.308221758763951,20,pearson
ACB,P1.anc.YRI.2way.rand.28,P2.anc.YRI.2way.rand.28,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
