coh,type,stat,value
ACB,Delta.anc.IBS,mean,0.08095
ACB,Delta.anc.IBS,var,0.00674552368421053
ACB,Delta.anc.YRI,mean,0.08075
ACB,Delta.anc.YRI,var,0.00661809210526316
ACB,Delta.anc.NAM,mean,0.00335
ACB,Delta.anc.NAM,var,2.47657894736842e-05
ACB,Delta.anc.NonYRI.2way,mean,0.1219
ACB,Delta.anc.NonYRI.2way,var,0.00816093684210526
ACB,Delta.anc.YRI.2way,mean,0.1219
ACB,Delta.anc.YRI.2way,var,0.00817283157894737
ACB,Delta.sex,mean,1
ACB,Delta.sex,var,0
ACB,Delta.adm.NAM,mean,0.0044046
ACB,Delta.adm.NAM,var,0.000233133432042105
ACB,Delta.adm.IBS,mean,0.07259405
ACB,Delta.adm.IBS,var,0.00550145160299737
ACB,Delta.adm.YRI,mean,0.0769987
ACB,Delta.adm.YRI,var,0.00645167241611579
ACB,Delta.adm.NonYRI,mean,0.07699865
ACB,Delta.adm.NonYRI,var,0.00645166538950263
ACB,Delta.rfm.NAM,mean,0.00357353457653716
ACB,Delta.rfm.NAM,var,3.28030241523864e-05
ACB,Delta.rfm.IBS,mean,0.0764698305815144
ACB,Delta.rfm.IBS,var,0.0069183316477002
ACB,Delta.rfm.YRI,mean,0.0791983713581278
ACB,Delta.rfm.YRI,var,0.00760303475107601
ACB,Mean.anc.IBS,mean,0.125625
ACB,Mean.anc.IBS,var,0.00505315460526316
ACB,Mean.anc.YRI,mean,0.872075
ACB,Mean.anc.YRI,var,0.00516119144736842
ACB,Mean.anc.NAM,mean,0.002225
ACB,Mean.anc.NAM,var,7.82828947368421e-06
ACB,Mean.anc.NonYRI.2way,mean,0.1277
ACB,Mean.anc.NonYRI.2way,var,0.00378851052631579
ACB,Mean.anc.YRI.2way,mean,0.87225
ACB,Mean.anc.YRI.2way,var,0.00379603947368421
ACB,Mean.sex,mean,1.5
ACB,Mean.sex,var,0
ACB,Mean.adm.NAM,mean,0.0022123
ACB,Mean.adm.NAM,var,5.82833580105263e-05
ACB,Mean.adm.IBS,mean,0.102880075
ACB,Mean.adm.IBS,var,0.00428322794995461
ACB,Mean.adm.YRI,mean,0.8949076
ACB,Mean.adm.YRI,var,0.00482196196341053
ACB,Mean.adm.NonYRI,mean,0.105092375
ACB,Mean.adm.NonYRI,var,0.00482196000139145
ACB,Mean.rfm.NAM,mean,0.00282194561604433
ACB,Mean.rfm.NAM,var,1.05193080889219e-05
ACB,Mean.rfm.IBS,mean,0.120366284750536
ACB,Mean.rfm.IBS,var,0.0047808233657196
ACB,Mean.rfm.YRI,mean,0.87681176963342
ACB,Mean.rfm.YRI,var,0.00504114918445357
ASW,Delta.anc.IBS,mean,0.140923076923077
ASW,Delta.anc.IBS,var,0.0166205769230769
ASW,Delta.anc.YRI,mean,0.142076923076923
ASW,Delta.anc.YRI,var,0.0173165769230769
ASW,Delta.anc.NAM,mean,0.00707692307692308
ASW,Delta.anc.NAM,var,6.99102564102564e-05
ASW,Delta.anc.NonYRI.2way,mean,0.181307692307692
ASW,Delta.anc.NonYRI.2way,var,0.0136020641025641
ASW,Delta.anc.YRI.2way,mean,0.181307692307692
ASW,Delta.anc.YRI.2way,var,0.0136020641025641
ASW,Delta.sex,mean,1
ASW,Delta.sex,var,0
ASW,Delta.adm.NAM,mean,0.013065
ASW,Delta.adm.NAM,var,0.000781185723166667
ASW,Delta.adm.IBS,mean,0.0951771538461538
ASW,Delta.adm.IBS,var,0.00704868381630769
ASW,Delta.adm.YRI,mean,0.0982437692307692
ASW,Delta.adm.YRI,var,0.0103011501806923
ASW,Delta.adm.NonYRI,mean,0.0982436923076923
ASW,Delta.adm.NonYRI,var,0.0103011289318974
ASW,Delta.rfm.NAM,mean,0.0148386036187423
ASW,Delta.rfm.NAM,var,0.000716928853522484
ASW,Delta.rfm.IBS,mean,0.0973078228238688
ASW,Delta.rfm.IBS,var,0.00744623969491512
ASW,Delta.rfm.YRI,mean,0.0984472910158738
ASW,Delta.rfm.YRI,var,0.0104347493615281
ASW,Mean.anc.IBS,mean,0.231307692307692
ASW,Mean.anc.IBS,var,0.0153826891025641
ASW,Mean.anc.YRI,mean,0.761807692307692
ASW,Mean.anc.YRI,var,0.0151239391025641
ASW,Mean.anc.NAM,mean,0.007
ASW,Mean.anc.NAM,var,3.6375e-05
ASW,Mean.anc.NonYRI.2way,mean,0.218576923076923
ASW,Mean.anc.NonYRI.2way,var,0.00859011858974359
ASW,Mean.anc.YRI.2way,mean,0.781423076923077
ASW,Mean.anc.YRI.2way,var,0.00859011858974359
ASW,Mean.sex,mean,1.5
ASW,Mean.sex,var,0
ASW,Mean.adm.NAM,mean,0.0065425
ASW,Mean.adm.NAM,var,0.000195296430791667
ASW,Mean.adm.IBS,mean,0.193051807692308
ASW,Mean.adm.IBS,var,0.0081126833955641
ASW,Mean.adm.YRI,mean,0.800405730769231
ASW,Mean.adm.YRI,var,0.00839500968669231
ASW,Mean.adm.NonYRI,mean,0.199594307692308
ASW,Mean.adm.NonYRI,var,0.00839503392164743
ASW,Mean.rfm.NAM,mean,0.0111082626985414
ASW,Mean.rfm.NAM,var,0.000164735220515071
ASW,Mean.rfm.IBS,mean,0.198930183804634
ASW,Mean.rfm.IBS,var,0.00779384190053618
ASW,Mean.rfm.YRI,mean,0.789961553496825
ASW,Mean.rfm.YRI,var,0.00809192106007455
CLM,Delta.anc.IBS,mean,0.195428571428571
